id,area,check,how,cables,result
D3,Dashboard,"Tachometer: wire 203 runs to the heated window switch (116), probably as its + supply. The manual prints it brown at the tachometer and blue at the switch (1979 and 1980 alike), so one is a misprint: which is it on the car? Is it live with the ignition on?",look,203,
D4,Dashboard,"Hazard switch: the terminal markings on its back. The book prints +, L and R, and nothing on the lamp terminal. Is the wire from + to the indicator switch green? (The book’s cable number for it is blotted: 74 or 76.)",look,"73, 76 GN, 67, 68",
D5,Dashboard,"Heater fan: where the low-speed resistor (74) is, and the grey wire (104) to it.",look,104,"The low-speed resistor (74) is fixed under the heater fan motor’s housing: a long resistor on a white ceramic former with a yellow and a red(?) lead; two thick leads go into the motor (25 Sep 2026, photo). The grey 104 was not seen: see D5b."
D5b,Dashboard,"Heater fan resistor (74): what colours are its two leads, and where do they go? The book runs grey 104 (from the fan switch, speed 6) into it and its other lead back to connector 57 on the motor’s feed (yellow 105). The photo showed yellow and red(?).",look,"104, 105",
D6,Dashboard,On a RHD car: where the radio junction box and the relays actually sit.,look,,
D7,Dashboard,"Hazard switch 25: does its lamp flash with the normal indicators, or only with the hazards on? The book prints its lamp contact merged into the blade root.",look,"73, 76#hazard, 52","Stays dark with the normal indicators and blinks with the hazards on, so its lamp contact is open at rest (25 Sep 2026)."
D8,Dashboard,"Dash indicator lamp (47:6, 71 GN/VT from flasher 23 terminal C): does it flash with the hazards on?",look,71,"Yes, it flashes with the hazards on (25 Sep 2026)."
D9,Dashboard,"Headlamp flash with the lights and ignition off: pull the stalk. Do the main or the dipped beams flash? As printed, relay 8’s flash contact is on the dipped side (56b), which would be unusual. Then with the headlamps on, pull it again: it should switch dip and main.",look,"32, 23, 24, 25, 26","The main (high) beams flash, not the dipped ones (25 Sep 2026). Dip/main switching with the headlamps on: not reported."
D10,Dashboard,"Wiper switch (61): battery disconnected, plug at 58 (D8) apart, meter on the switch side. Pins by colour: 88 BL = 31b, 86 RD = 53, 85 BR = 53a, 84 GN/VT = INT, 87 GN = 53b, 91 GL = 54c; S is the pin between 88 and 91 (no wire printed; is there a grey 96?). In each lever position note which pins join, and compare with the table on the wipers sheet. The ones that matter: at 0, 88 to 86 (the book prints a gap there); at 0 not pulled, 91 to S (the printed P–Q link); at 3, 85 to S and 85 to 91 (does fast feed the headlight wipers, or the washer?); pulled from 0, 85 to 91 and 85 to S. Also: at fast wipe, the washer pump must not run (the 1977 diagram has no S–54c link).",meter,"88, 86, 85, 84, 87, 91, 96",
I1,Doors and interior,"Front speakers: which door has red/white + blue/white (344/345), and which brown/white + green/white (342/343). The manual contradicts itself.",look,"342, 343, 344, 345","Right-hand speaker: red/white and blue/white (344/345); left-hand: brown/white (faded) and green/white (342/343). As the radio page shows; the 1979 Turbo diagram swaps them (25 Sep 2026, photos)."
I2,Doors and interior,"Interior lights: the drawing now gives the feed (fuse 9, 160 GL) and the lamp links. On the car: do the lights follow the doors with switch 53 in its middle position, and does the luggage light work from its switch (56)?",meter,"161, 164, 167, 167a, 169, 170",
I3,Doors and interior,"Seat belt warning: with the key on, sit in the seat without the belt: does lamp 72 light, and go out when you buckle up? Note which contacts are fitted.",look,"380, 168","With the ignition on, the lamp stays lit until the driver buckles up. The passenger seat has a seat contact: only when someone (or a heavy bag) sits on it does the lamp stay lit until the passenger’s belt is clipped in; an empty passenger seat does not light it (25 Sep 2026)."
R1,Rear of car,"Rear lamp clusters: blue/white (76) at the left indicator, red/white (79) at the right; any extra wires at the number plate lamps (46/47 stubs, maybe a towbar).",look,"76, 79, 46, 46a, 47, 47a",
R2,Rear of car,Fuel pump plug: grey 2.5 mm² feed (261).,look,261,
R3,Rear of car,"Rear lamp clusters: is there a black wire linking the left cluster’s earth to the right cluster’s (189, 0.75), and one from the right cluster to an earth point (189a, 1.0)? The book gives the clusters no earths of their own.",look,"189, 189a",
