component,name,sheet,kind,element,between,rest_state,confidence,evidence,notes
8,Lighting relay,lighting,relay,changeover contact,F;H;G,rests on H (56b),read,"book photo IMG_4719, IMG_4721; scan p.407","Order common;rest;work. Thick diagonal blade from F (upper left) down to H, drawn touching H; H is on the 56b node; G stands level with H on the 56a vertical and is untouched (F-G equals F-H, so F is the pivot). F is fed only from E. Moved by K1 through the horizontal dashed link. Probably the dip/main latch: each S pulse probably toggles it between 56b (dip) and 56a (main); no ratchet is printed."
8,Lighting relay,lighting,relay,link,56b;D;H,n/a,read,"book photo IMG_4719, IMG_4721; scan p.407",One node: the 56b vertical rises to 0.25 box height and turns right to D; on the way a junction dot at 0.52 height takes a short line left to H. The horizontal dashed line crosses this vertical without joining it.
8,Lighting relay,lighting,relay,link,30;C;resistor,n/a,read,"book photo IMG_4719, IMG_4721; scan p.407",One node: the 30 vertical rises to 0.24 box height and turns left to C; the resistor bus meets it at 0.76 height with a junction dot.
8,Lighting relay,lighting,relay,link,A;B,n/a,read,"book photo IMG_4719, IMG_4721","Thin line joining A and B at 0.25 box height, so A is live only while the B-C blade is closed (probably K2 at rest)."
8,Lighting relay,lighting,relay,link,E;F,n/a,read,"book photo IMG_4719, IMG_4721",Line from F up to 0.11 box height and right along the top to E. E has no other connection.
8,Lighting relay,lighting,relay,link,56a;G,n/a,read,"book photo IMG_4719, IMG_4721; scan p.407",Vertical from terminal 56a up to open circle G at 0.52 box height; nothing else joins it inside the box.
11/12 L,High beam / Low beam,lighting,lamp,terminals,"top (25 BL 1.0);bottom (23 GR 1.0);bottom, left of 23 (115 SV 0.75);left (28 SV 1.0)",n/a,read,book photo IMG_4715; scan p.407,"No terminal labels printed. Same layout as 11/12 R, plus 115 SV, which drops through the bottom outline left of the 23 GR exit and runs right under 23 GR. The left lead is unlabelled at the lamp; the scan labels it 28 SV 1.0 in the grid C2 bundle. '11' right of the rounded end at the upper half, '12' just below. Lens chord near the left end, not a conductor."
11/12 L,High beam / Low beam,lighting,lamp,bulb,top;bottom;left,n/a,read,book photo IMG_4715,"Same circle as on 11/12 R, in the rounded right end at mid-height. Here the upper arc is unbroken."
11/12 L,High beam / Low beam,lighting,lamp,filament,top (25 BL);left (common),n/a,probably,book photo IMG_4715,"Upper arc, sagging (U) near the top. The pairing is not drawn (arcs end on the circle). Probably main beam 11: 25 BL comes from 8:56a."
11/12 L,High beam / Low beam,lighting,lamp,filament,bottom (23 GR);left (common),n/a,probably,book photo IMG_4715,"Lower arc, bowed up (upside-down U). Probably dipped beam 12: 23 GR comes from 8:56b."
11/12 L,High beam / Low beam,lighting,lamp,link,bulb left side;28 SV 1.0;115 SV 0.75,n/a,read,book photo IMG_4715; scan p.407,"Common node at the circle's 9 o'clock. 115 SV branches from that same junction, not from the lower arc (which meets the circle lower down, checked at 8x). It curves down-left, drops through the bottom outline and runs on to thermostatic switch 39. The lead out of the left end is 28 SV 1.0 (label on the scan only), to the central earth star."
11/12 R,High beam / Low beam,lighting,lamp,terminals,top (26 VT 1.0);bottom (24 GL 1.0);left (29 SV 1.0),n/a,read,book photo IMG_4714,"No terminal labels printed; points named by side and cable. Top and bottom stubs leave the bulb straight up and down through the housing outline; the left common line crosses the thin lens chord (plain crossing, no dot), leaves the housing's flat left end and runs down the page. '11' printed right of the rounded end at the upper half, '12' below it by the bottom exit. No earth symbol at the lamp. The lens chord is part of the housing symbol, not a conductor, so it has no row."
11/12 R,High beam / Low beam,lighting,lamp,bulb,top;bottom;left,n/a,read,book photo IMG_4714,"One circle inside the housing's rounded right end at mid-height, holding both filament arcs. The leads meet its outline at 12, 6 and 9 o'clock."
11/12 R,High beam / Low beam,lighting,lamp,filament,top (26 VT);left (29 SV),n/a,probably,book photo IMG_4714,"Upper arc, sagging (U) near the top of the circle. Printed with a gap near its right end and a separate short tick; probably a print break, since the left lamp's arc is unbroken. Both arcs end on the circle outline, so the pairing is not drawn. Probably main beam 11: 26 VT comes from 8:56a and '11' is printed level with the top."
11/12 R,High beam / Low beam,lighting,lamp,filament,bottom (24 GL);left (29 SV),n/a,probably,book photo IMG_4714,"Lower arc, bowed up (upside-down U) in the lower half of the circle. Probably dipped beam 12: 24 GL comes from 8:56b and '12' is printed by the bottom exit."
11/12 R,High beam / Low beam,lighting,lamp,link,bulb left side;29 SV 1.0,n/a,read,book photo IMG_4714; scan p.407,"Common return: a horizontal line from the circle's 9 o'clock across the housing and out of its left end. 29 SV runs on to the central earth star (scan), so an earth symbol on the sheet is fair."
13 L,"Front parking light + Direction indicator lights, L (front)",lighting; signals,lamp housing,terminals,top (43 BL 0.75);right (77 BL/VT 1.0);bottom (139 VT 0.75);lower left (148 SV 0.75);left (360 SV 0.75),n/a,read,book photo IMG_4715; scan p.407,"No terminal labels printed. Same layout as 13 R. The earth lead out of the left end is unlabelled at the lamp. It turns up the page as the outermost line, and the scan labels it 360 SV 0.75 in the grid C2 bundle. 148 SV is dashed and runs left from the lower-left outline into its label's underline. '13' above-left by the 43 BL entry; '27' right, below the 77 exit. The cable reads 139 (no 'a'). Lower bulb unnumbered. Lens chord near the left end, not a conductor."
13 L,"Front parking light + Direction indicator lights, L (front)",lighting; signals,lamp housing,bulb,top (43 BL);common earth,n/a,read,book photo IMG_4715,"Parking light 13: upper small circle, one filament arc near its top (U); its bottom meets the common line at the junction blob."
13 L,"Front parking light + Direction indicator lights, L (front)",lighting; signals,lamp housing,bulb,bottom (139 VT);common earth,n/a,read,book photo IMG_4715; scan p.407,"Lower small circle, one arc near its bottom (upside-down U). No number printed: probably corner lamp 118, with the same unresolved 138 BL question as on 13 R."
13 L,"Front parking light + Direction indicator lights, L (front)",lighting; signals,lamp housing,lamp,right (77 BL/VT);common earth,n/a,read,book photo IMG_4715,"Direction indicator 27 (front): crossed circle with left and right quadrants black, right of the small pair."
13 L,"Front parking light + Direction indicator lights, L (front)",lighting; signals,lamp housing,link,13 bottom;lower bulb top;27 left side;360 SV 0.75,n/a,read,book photo IMG_4715; scan p.407,"Shared earth line at mid-height, as on 13 R. It leaves the left end and turns up the page as 360 SV 0.75 (0.75 mm2 here, where the right side's 361 is 1.0) to the central earth star (scan)."
13 L,"Front parking light + Direction indicator lights, L (front)",lighting; signals,lamp housing,link,148 SV 0.75;common earth,n/a,probably,book photo IMG_4715,"Inside: a continuous thin line through an ink blob, across the lens chord into the same tiny loop as on 13 R, ending on the lower bulb's circle at about 10 o'clock. Outside: dashed and fainter than a wire, running left into its label's underline. Nothing is drawn beyond it, so it is a stub. Why it is dashed is not printed. Probably an extra earth lead; it could also be a leader line."
13 R,"Front parking light + Direction indicator lights, R (front)",lighting; signals,lamp housing,terminals,top (45 GN 0.75);right (80 RD/VT 1.0);bottom (139a VT 0.75);lower left (149 SV 0.75);left (361 SV 1.0),n/a,read,book photo IMG_4714; scan p.407,"No terminal labels printed. 45 GN enters the upper small bulb from the top, and 139a VT leaves the lower small bulb at the bottom, both through the housing outline. 80 RD/VT leaves indicator 28 through the rounded right end. The common earth leaves the flat left end at mid-height and turns down the page as 361 SV (the outer page-edge line). 149 SV is a thin line off the lower-left outline. '13' printed above-left by the 45 GN entry; '28' right of the housing, below the 80 exit. The third (lower) bulb has no number. Lens chord near the left end, not a conductor. lighting.py draws 13 and signals.py draws 28 front as separate lamps."
13 R,"Front parking light + Direction indicator lights, R (front)",lighting; signals,lamp housing,bulb,top (45 GN);common earth,n/a,read,book photo IMG_4714,"Parking light 13: the upper of two small stacked circles, with one filament arc near its top (U). Its bottom meets the common line at a junction blob it shares with the lower bulb."
13 R,"Front parking light + Direction indicator lights, R (front)",lighting; signals,lamp housing,bulb,bottom (139a VT);common earth,n/a,read,book photo IMG_4714; scan p.407,"Lower small circle, with one filament arc near its bottom (upside-down U); its top meets the common line at the same blob. Connections read. No number printed: probably corner lamp 118 (legend: grid A1 F1, the same squares as 13). But 139a/139 probably share pin 4 of 58 (E2) with 138 BL from reversing switch 31, which would not fit a side-selective lamp. Unresolved."
13 R,"Front parking light + Direction indicator lights, R (front)",lighting; signals,lamp housing,lamp,right (80 RD/VT);common earth,n/a,read,book photo IMG_4714,"Direction indicator 28 (front): a larger circle right of the small pair, with an X; left and right quadrants filled black, top and bottom white. The common line reaches its left edge."
13 R,"Front parking light + Direction indicator lights, R (front)",lighting; signals,lamp housing,link,13 bottom;lower bulb top;28 left side;361 SV 1.0,n/a,read,book photo IMG_4714; scan p.407,"Shared earth: one horizontal line at mid-height through the junction blob between the small bulbs to 28's left edge, and left across the lens chord (plain crossing) out of the housing as 361 SV 1.0. All three bulbs return on this one lead. 361 does not go to the central earth star: it ends at washer motor 63's earth terminal, with 92 SV (scan)."
13 R,"Front parking light + Direction indicator lights, R (front)",lighting; signals,lamp housing,link,149 SV 0.75;common earth,n/a,probably,book photo IMG_4714,"Thin line, lighter than a wire. Inside, it crosses the lens chord into a tiny ink loop, tied to the common line by a short vertical, and ends on the lower bulb's circle at about 10 o'clock, not at the junction blob. Outside, it is a thin solid diagonal down-left. It stops just short of the outline and ends in a short downward tick above its label, whose underline is dashed. Nothing is drawn beyond it, so it is a stub. Probably an extra earth lead of the lamp unit; it could also be a leader line."
21,Ignition switch relay,power,relay,terminals,87;86;30/51;85,n/a,read,book photo IMG_4720; scan p.407,"87 top-left and 86 top-right on the top edge; 30/51 bottom-left and 85 bottom-right on the bottom edge, directly below them. Open circles just inside the border; wires leave straight up (87, 86) and down (30/51, 85). Label '86' sits below and LEFT of its lead; '87' and '30/51' right of theirs; '85' above its circle, touching the right wall. '21' centred above the box. Two wires leave 85: 33 SV 0.75 straight down, and a diagonal down-left that the scan labels 263 SV 0.75 (runs to relay 102); the diagonal's join is hidden in the border, so it probably joins 85. No diode, resistor or 87a break contact is printed; nothing inside joins the coil circuit to the contact."
21,Ignition switch relay,power,relay,coil,86;85,n/a,read,book photo IMG_4720; scan p.407,"Horizontal rectangle in the right half at mid-height (about 40-59% down), its right end on the inner right wall. 86 drops into its top and 85 leaves its bottom on one vertical about 60% along it. Slash from the bottom edge about 40% along to the top edge about 80% along. Probably fed from ignition switch 20:54 (12 BR/VT) and earthed through 33 SV at 113:85."
21,Ignition switch relay,power,relay,contact,30/51;87,open,read,book photo IMG_4720; scan p.407,Normally open make contact in the left half. 87 drops to the fixed contact about 30% down; 30/51 rises to the pivot about 70% down. The blade leans up-left from the pivot and stops left of and a little below the fixed contact: plainly open. Probably switches the always-live bar 7-12 (10 GR 4.0) to bar 3-6 (11 VT 4.0) with the ignition on.
21,Ignition switch relay,power,relay,link,coil;blade,n/a,read,book photo IMG_4720; scan p.407,Mechanical link: a horizontal line of three dashes at mid-height from just right of the blade (it does not touch it) to the coil's left end.
22,Fuse box,power; lighting; signals; radio; wipers; climate; interior,fuse box,terminals,1;2;3;4;5;6;7;8;9;10;11;12,n/a,read,book photo IMG_4711; book photo IMG_4717,"All twelve printed labels are on the bottom edge, left to right, each number just right of its fuse's bottom terminal circle (the 12 touches the inner right border). Circles on 1-8 print as rings, on 9-12 as solid dots: ink fill, same symbol. Above each fuse sits an unlabelled junction circle just inside the top edge; the bars join these. ""22"" is printed large outside the right edge at mid-height. The manual prints nothing else inside the box: no relay, lamp, mechanical link or extra fuse. The unfused taps (94 BR, 202, 20, 7, 10, 280 GR) leave the bars without a fuse; the 3 A headlight-wiper fuse is separate component 65."
22,Fuse box,power; lighting,fuse box,fuse,top 1;1,n/a,read,book photo IMG_4711; book photo IMG_4717,"Printed 5A. No top wire: fed through bar 1-2 from fuse 2. Outputs: vertical 43 BL 0.75 (13 L), lower-left leg 42 BL 0.75 (14 L); the leg starts just under the terminal circle, inside the box."
22,Fuse box,power; lighting,fuse box,fuse,top 2;2,n/a,read,book photo IMG_4711; book photo IMG_4717; scan p.407,"Printed 5A. Top wire is bar 1-2's feed (route read in the photo; label 41 GN 1.0 only on the scan). Outputs: vertical 45 GN 0.75 (13 R), lower-left leg 44 GN 0.75 (14 R)."
22,Fuse box,power; signals,fuse box,fuse,top 3;3,n/a,probably,book photo IMG_4711; scan p.407,"Fuse and its joins are read; only the printed rating is a solid ink blot in the photo and the same blot on the scan. It is one digit wide with a rounded top and a pinhole where an 8's lower loop would be: fits 8, rules out 5 and 16, but is not legible. 8 A per fuses.csv (lid). Top: 94 BR 0.75 leaves upward, unfused. Outputs: lower-left leg 117 RD 1.5 (horns 40), vertical 135 VT 1.0 (switch 31; label read on the scan, cut off in the photo)."
22,Fuse box,power; wipers,fuse box,fuse,top 4;4,n/a,probably,book photo IMG_4711; scan p.407,"Fuse and its joins are read; the printed digit is a solid blot with no visible loop in the photo or scan, unreadable by itself. One digit wide, so not 16, and unlike the clean 5s. 8 A per fuses.csv (lid), probably what is printed. No top wire. Three outputs (labels on the scan only): left leg 85a BR 0.75 to motor 62:4, vertical 85 BR 1.0 to switch 61:53a, right leg 85a BR 0.75 to relay 83:85a."
22,Fuse box,power; interior,fuse box,fuse,top 5;5,n/a,read,book photo IMG_4711; scan p.407,"Printed 8A, the clearest 8 on the box. Top: 11 VT 4.0 (bar 3-6's feed) enters diagonally from the upper right into this circle. Outputs: left leg 140 GL 1.0 (seat heating 64), right leg 380 GL 1.0 (speed transmitter 140), vertical 380a GL 1.0 (switch 137; label on the scan only)."
22,Fuse box,power; climate,fuse box,fuse,top 6;6,n/a,read,book photo IMG_4711; scan p.407,"Printed 16A. No top wire. One vertical output, 103 BL 2.5 to fan switch 35 (label on the scan only)."
22,Fuse box,power; climate,fuse box,fuse,top 7;7,n/a,read,book photo IMG_4711,"Printed 16A; the 1 and 6 run together but the 6's loop is closed, so not 15. Top: 202 GR 1.5 enters here. Outputs: vertical 110 GL 1.5 (relay 38:30/51); lower-right leg 113 RD 0.75 (relay 38:86) starting right at the terminal circle."
22,Fuse box,power; climate,fuse box,fuse,top 8;8,n/a,read,book photo IMG_4711; scan p.407,"Printed 16A. Top wire unlabelled in the photo (up, left, up); 5a GR 2.5 from alternator B+ on the scan. One output, 210 RD 2.5 (relay 113:30)."
22,Fuse box,power; radio,fuse box,fuse,top 9;9,n/a,read,book photo IMG_4711,"Printed 8A. Top: 10 GR 4.0 comes in from the right and crosses fuse 10's feed with no dot. One output, 126 BL 1.0 (to 58 (B11))."
22,Fuse box,power,fuse box,fuse,top 10;10,n/a,read,book photo IMG_4711; scan p.407,"Printed 8A (the car has 16 A by Charlie's choice; fuses.csv). Top wire goes straight up, unlabelled in the photo; 5 GR 4.0 from alternator B+ on the scan. One output, 260 GR 1.5 (relay 102:30); its size is cut off in the photo and read on the scan. Faint marks near the top circle and left of the 10 are pencil or dirt."
22,Fuse box,power; signals,fuse box,fuse,top 11;11,n/a,read,book photo IMG_4711; scan p.407,"Printed 5A. Top wire goes up, then right, unlabelled in the photo; 20 GR 1.5 on the scan. One output runs straight down across the right-hand stack with no dots; 70 RD/VT 1.0 to flasher 23 (not in the photo; the scan trace reaches 23)."
22,Fuse box,power; signals,fuse box,fuse,top 12;12,n/a,read,book photo IMG_4711,"Printed 5A. Two top wires: 280 GR 1.5 comes from the left straight into the circle; 7 GR 2.5 comes from the right, angles down-left through the border and merges into the lead above the circle, with no circle of its own. One output, 131 RD 1.0 (brake light switch 29)."
22,Fuse box,power; lighting,fuse box,bar,top 1;top 2,n/a,read,book photo IMG_4711; book photo IMG_4717; scan p.407,Thin line joining the top circles of fuses 1 and 2 only; no line to 3. Fed at fuse 2 by 41 GN 1.0 from light switch 10:4 (label on the scan only); its feed crosses the 94 BR and 11 VT verticals with no dots. Probably live in the parking and headlamp positions.
22,Fuse box,power,fuse box,bar,top 3;top 4;top 5;top 6,n/a,read,book photo IMG_4711,"One thin line through the top circles of fuses 3-6, ending at 6; no line to 7. Fed at fuse 5 by 11 VT 4.0 from relay 21:87; 94 BR 0.75 leaves upward, unfused, at fuse 3 (label printed vertically, border notched round the 94). Nothing at the tops of 4 and 6. Probably live with the ignition on."
22,Fuse box,power; lighting,fuse box,bar,top 7;top 8;top 9;top 10;top 11;top 12,n/a,read,book photo IMG_4711; scan p.407,"One thin line through the top circles of fuses 7-12, ending at 12. Every one has a top wire: 7 = 202 GR 1.5, 8 = 5a GR 2.5, 9 = 10 GR 4.0, 10 = 5 GR 4.0, 11 = 20 GR 1.5, 12 = 280 GR 1.5 and 7 GR 2.5. Labels 202, 10, 280 and 7 are read in the photo; 5a, 5 and 20 only on the scan. Their crossings above the box have no dots. Probably always live (alternator and battery B+, DIN 30)."
24,Direction indicator switch,signals,switch,terminals,54;R;L,n/a,read,book photo IMG_4724; scan p.407,"54 at top centre just inside the top edge (about 52% across), label '54' to the right of its link; its wire leaves straight up. R on the bottom edge at about 34% across (letter R to its left); L on the bottom edge at about 73% (letter L to its right). Each bottom terminal has a straight wire down and a diagonal leaving the border just right of it (probably a second wire on the same terminal). No 30, 15 or 31 terminal is printed: the only feed is 54, from hazard switch 25 '+'. '54' is not the DIN number for this flasher-output node; record as printed."
24,Direction indicator switch,signals,switch,link,54;pivot,n/a,read,book photo IMG_4724; scan p.407,Short vertical stroke from the 54 terminal circle down to the lever pivot circle (about 30% down).
24,Direction indicator switch,signals,switch,changeover contact,54;R;L,open,read,book photo IMG_4724; scan p.407,"Common 54 (the lever, a thick bar hanging from the pivot to about 72% down); R and L are both work contacts, fixed circles at about 70% down. No rest contact: drawn centre-off, the lever ends free exactly midway between R and L and touches neither. Probably a left/off/right selector (lever to R feeds the RD/VT right-hand wires, to L the BL/VT left-hand ones); inferred from the symbol, not printed."
24,Direction indicator switch,signals,switch,link,R contact;R,n/a,read,book photo IMG_4724; scan p.407,Short vertical stroke from the fixed R contact down to the R terminal circle on the bottom edge.
24,Direction indicator switch,signals,switch,link,L contact;L,n/a,read,book photo IMG_4724; scan p.407,Short vertical stroke from the fixed L contact down to the L terminal circle on the bottom edge.
25,Hazard warning flasher switch,signals,switch,terminals,+;L;R,n/a,read,book photo IMG_4724; scan p.407,"'+' just inside the top edge at about 47% across (a plus sign printed to its right); its wire enters straight down and 73 GN enters diagonally just left of it (probably the same terminal). L and R on the bottom edge at about 62% and 77% across ('L' left of its circle, 'R' right of its circle in the corner). The lamp has a fourth terminal on the inner right edge at about 40% down with no printed label (69 SV to earth straight right, 52 SV diagonal just above it). No 30, 15 or 31 terminal is printed. '+' is not a DIN number and carries the pulsed flasher output, not battery +; record as printed."
25,Hazard warning flasher switch,signals,switch,link,+;pivot,n/a,read,book photo IMG_4724; scan p.407,Short vertical stroke from the '+' terminal circle down to the blade pivot circle (about 28% down).
25,Hazard warning flasher switch,signals,switch,contact,+;lamp contact,open,probably,book photo IMG_4724; scan p.407,"Lamp contact: top circle of the contact column, just below and right of the pivot, drawn like the R and L contacts (a contact face on its left, towards the pivot line). As printed the blade root and this contact merge in solid ink (photo and scan), which taken literally is closed with the lamp always on the flasher output. Probably open at rest and closed with the hazards on: the operated-position marks run straight down from the pivot through all three contacts, and a lamp fixed on the always-fed flasher output would glow with the ignition off and duplicate the 47:6 tell-tale. Check on the car."
25,Hazard warning flasher switch,signals,switch,contact,+;R,open,read,book photo IMG_4724; scan p.407,"The blade is a thick bar from the pivot down-left, ending free at about 26% across, 72% down (drawn open). R contact is the middle circle of the column (about 56% down). Operated, the blade probably swings counter-clockwise on the page to vertical and closes the lamp, R and L contacts together (inferred). Short vertical marks at the pivot x above and below the R contact, and a blob at the L contact lower left, are probably that operated-position line or contact faces, not characters."
25,Hazard warning flasher switch,signals,switch,contact,+;L,open,read,book photo IMG_4724; scan p.407,"Same blade, drawn open. L contact is the lowest circle of the column (about 75% down). Operated position: see the +;R row."
25,Hazard warning flasher switch,signals,switch,link,R contact;R,n/a,read,book photo IMG_4724; scan p.407,"Line right from the R contact to about 77% across, then down to the R terminal. Does not cross the L drop."
25,Hazard warning flasher switch,signals,switch,link,L contact;L,n/a,read,book photo IMG_4724; scan p.407,"Short line right from the L contact to about 62% across, then down to the L terminal."
25,Hazard warning flasher switch,signals,switch,lamp,lamp contact;lamp terminal,n/a,read,book photo IMG_4724; scan p.407,"Lamp in the upper right (centre about 70% across, 42% down), a short line left to the lamp contact and right to the unlabelled right-edge terminal. Printed as an ink-filled disc; its four white holes (top, left, right, bottom) fit the circle-with-X lamp symbol. Probably the hazard tell-tale."
29,Brake light switch,signals,switch,terminals,left;right,n/a,read,book photo IMG_4725; scan p.407,"No labels printed. Small open circles on the inside of the left and right borders, both a little below mid-height. The right one has a short white slot above it, like a '!'. 131 RD 1.0 enters the left. 132 RD 1.0 leaves the right, crosses a vertical without a dot, and runs to 58 (E12) row 2. Landscape box about 1.7:1 with a very heavy outline; the label 29 is above."
29,Brake light switch,signals,switch,contact,left;right,unreadable,unreadable,book photo IMG_4725; scan p.407,"The blade pivots at the left terminal and rises about 20 degrees to the upper right; from about halfway its upper edge merges with the top border. These parts are read. As printed, the blade's lower edge runs into the right contact's ring and no white gap shows in the photo or the scan. The white slot lies between the blade end and the right border. The geometry (the contact sits level with the pivot, below the rising blade) and the function both say it is probably normally open, closing when the pedal is pressed."
31,Reversing light switch,signals,switch,terminals,top;bottom,n/a,read,book photo IMG_4728; scan p.407,"No labels printed. Top: an open circle hanging from the inside of the top border at the centre; 135 VT 1.0 drops into it from 58 (E12) row 3. Bottom: an open circle on the inside of the bottom border at about the centre, with a white notch to its right. 136 VT 1.0 leaves it straight down, then turns right toward the left rear cluster. 138 BL 1.0 (from 58 (E12) row 4) enters the left border at the bottom terminal's height; there is no terminal circle at that point. Portrait box about 1:1.8 with a very heavy outline; the label 31 is to the right."
31,Reversing light switch,signals,switch,contact,top;bottom,open,read,book photo IMG_4728; scan p.407,"The blade pivots at the top terminal and runs down-right to the right wall about three-quarters of the way down. White runs between its tip and the bottom circle, and on into the notch below the tip. Probably normally open, closed in reverse gear."
31,Reversing light switch,signals,switch,link,bottom;left entry (138 BL),n/a,read,book photo IMG_4728; scan p.407,"A short internal line runs from the left border to the bottom circle at the height where 138 BL arrives (scan rows 3377-3379, just above the bottom border's top edge at 3382). In the photo the circle, the border and this line merge into one ink mass. So 138 sits on the switched side, with 136."
35,Ventilator fan switch,climate,switch,terminals,4;8;6;unlabelled,n/a,read,book photo IMG_4725; scan p.407,"4 on the left border at mid-height (103 BL 2.5 arrives from the left). On the right border, top to bottom: 8, 6 (level with 4), and an unlabelled terminal with no wire outside. Labels 8 and 6 sit inside the box just above their leads, beside the right border. The '4' is ink-filled but has a 4's shape in photo and scan; it sits above the lead between terminal 4 and the pivot circle. Square box (scan 145 x 145 px) with a very heavy outline. No lamp or other element is drawn."
